nama_course,kategori,level,price,jumlah_peserta,content_duration,level,title_clean,rating,num_reviews,benefit
Python Algo Stock Trading: Automate Your Trading!,Business Finance,beginner level,95,1165,2.5,Beginner,python algo stock trading: automate your trading!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Trading Stocks: Proven Toolbox For Financial Success,Business Finance,intermediate level,195,7884,10.0,Intermediate,options trading stocks: proven toolbox for financial success,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Business Finance,beginner level,195,16900,5.5,Beginner,forex trading a-z™ - with live examples of forex trading,4.5346184,22644.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Modeling for Startups & Small Businesses,Business Finance,beginner level,195,4991,11.5,Beginner,financial modeling for startups & small businesses,4.199993,3457.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Trading - How to Win with Weekly Options,Business Finance,intermediate level,115,7489,1.0,Intermediate,options trading - how to win with weekly options,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How I Learned Stock Trading (and How You Can Too),Business Finance,expert level,200,1580,2.0,Expert,how i learned stock trading (and how you can too),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,Business Finance,intermediate level,125,2996,2.0,Intermediate,trading inside bars - master 1 easy pattern to be successful,4.028125,533.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Dividend Investing: Build Your Portfolio for a Better Future,Business Finance,beginner level,60,8314,4.0,Beginner,dividend investing: build your portfolio for a better future,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn Accounting. Understand Business.,Business Finance,beginner level,200,5572,5.5,Beginner,learn accounting. understand business.,4.3100395,214.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How to Consistently Win Trading Stocks in 30 Days or Less,Business Finance,intermediate level,145,1433,1.0,Intermediate,how to consistently win trading stocks in 30 days or less,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
A Beginner's Guide to Quantopian Futures API,Business Finance,intermediate level,20,936,1.5,Intermediate,a beginner's guide to quantopian futures api,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Comprehensive Guide to Financial Markets, Investing &Trading",Business Finance,beginner level,60,4187,9.0,Beginner,"comprehensive guide to financial markets, investing &trading",4.5295253,5136.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Trading Basics (3-Course Bundle),Business Finance,beginner level,180,10100,11.0,Beginner,options trading basics (3-course bundle),4.568361,9292.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Trading Introduction: Day Trade Stock Options,Business Finance,beginner level,95,12394,2.5,Beginner,options trading introduction: day trade stock options,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn to Trade for Profit:Trading with Japanese Candlesticks,Business Finance,beginner level,60,16385,3.0,Beginner,learn to trade for profit:trading with japanese candlesticks,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading for Beginners - Intermediate Level,Business Finance,beginner level,150,3979,5.0,Beginner,trading for beginners - intermediate level,4.0812387,222.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Business Finance,expert level,200,1406,1.5,Expert,learn how to set up an incubator hedge fund - step-by-step,4.437085,158.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Accounting: The Language of Business,Business Finance,beginner level,20,11958,11.5,Beginner,introduction to accounting: the language of business,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basic Excel for Basic Bookkeeping and Accounting,Business Finance,beginner level,95,7743,1.5,Beginner,basic excel for basic bookkeeping and accounting,4.3545637,640.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
FOREX Trading with Price Action,Business Finance,beginner level,195,484,1.0,Beginner,forex trading with price action,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading - Advanced Fundamental Analysis,Business Finance,intermediate level,20,1754,2.5,Intermediate,forex trading - advanced fundamental analysis,4.235182,491.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How To Invest With Tiny Capital In Stocks ?,Business Finance,beginner level,20,1239,0.7,Beginner,how to invest with tiny capital in stocks ?,4.27444,126.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Business Finance,beginner level,150,2602,5.0,Beginner,forex metatrader 4: master mt4 like a pro forex trader,4.681958,3199.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Options Trading 101: The Basics,Business Finance,beginner level,0,1514,0.55,Beginner,options trading 101: the basics,4.231739,665.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Practical Accounts APP Overview,Business Finance,intermediate level,20,1361,3.0,Intermediate,practical accounts app overview,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Bitcoin Profits for Beginners,Business Finance,beginner level,100,61,1.5,Beginner,bitcoin profits for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Statements Basics,Business Finance,beginner level,20,1374,2.0,Beginner,financial statements basics,3.8505893,61.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Financial Statement Analysis,Business Finance,beginner level,20,1480,1.5,Beginner,introduction to financial statement analysis,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market Investing for Beginners,Business Finance,beginner level,0,50855,1.5,Beginner,stock market investing for beginners,4.4107604,31316.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market Investing for Beginners,Business Finance,beginner level,0,50855,1.5,Beginner,stock market investing for beginners,4.329582,48.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting for Beginners : Learn Basics in under 1 Hour,Business Finance,beginner level,50,1971,1.5,Beginner,accounting for beginners : learn basics in under 1 hour,2.9145968,31.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Binary Options: Trading Strategies, 90% Accuracy and Signals",Business Finance,beginner level,195,1723,1.0,Beginner,"binary options: trading strategies, 90% accuracy and signals",3.5884511,107.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market Leverage: How to Start Trading Options Wisely,Business Finance,beginner level,95,2153,1.5,Beginner,stock market leverage: how to start trading options wisely,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market Foundations,Business Finance,beginner level,0,19339,2.0,Beginner,stock market foundations,0.0,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market Foundations,Business Finance,beginner level,0,19339,2.0,Beginner,stock market foundations,4.5759697,4448.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex SOS Course: Trading Tweaks And Working Forex Strategy,Business Finance,beginner level,50,1315,2.5,Beginner,forex sos course: trading tweaks and working forex strategy,4.137897,84.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Financial Modeling,Business Finance,intermediate level,0,29167,1.5,Intermediate,introduction to financial modeling,4.395671,10762.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Option Spreads and Credit Spreads Bundle,Business Finance,expert level,180,2212,4.5,Expert,option spreads and credit spreads bundle,3.7428658,1041.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock market Investing Encyclopedia: How to invest in stocks,Business Finance,intermediate level,200,3143,3.0,Intermediate,stock market investing encyclopedia: how to invest in stocks,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn the basics of preparing accounting statements,Business Finance,intermediate level,20,1951,0.55,Intermediate,learn the basics of preparing accounting statements,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Elliott Wave -Forex Trading With The Elliott Wave Theory,Business Finance,expert level,90,4022,1.0,Expert,elliott wave -forex trading with the elliott wave theory,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Corporate Finance - A Brief Introduction,Business Finance,beginner level,0,11724,1.5,Beginner,corporate finance - a brief introduction,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Excel functions to analyze and visualize data,Business Finance,intermediate level,20,2283,2.0,Intermediate,excel functions to analyze and visualize data,4.2329025,101.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Building Financial Statements in Excel,Business Finance,beginner level,35,1181,1.0,Beginner,building financial statements in excel,4.473024,481.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Forex Trading with Fixed 'Risk through Options Trading""",Business Finance,beginner level,200,611,1.0,Beginner,"forex trading with fixed 'risk through options trading""",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Intro to Financial Modeling,Business Finance,beginner level,105,1077,6.0,Beginner,intro to financial modeling,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Shark Accounting - Building a Business by the Numbers!,Business Finance,beginner level,20,6050,1.5,Beginner,shark accounting - building a business by the numbers!,4.3332844,440.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting in 60 Minutes - A Brief Introduction,Business Finance,beginner level,0,56659,1.5,Beginner,accounting in 60 minutes - a brief introduction,4.53979,15860.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
SAP FICO For Beginners - A Guide to SAP Financial Accounts,Business Finance,beginner level,100,1444,5.0,Beginner,sap fico for beginners - a guide to sap financial accounts,4.291882,1946.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn how to double your Forex Trading Account in one trade,Business Finance,intermediate level,60,2900,2.5,Intermediate,learn how to double your forex trading account in one trade,4.112537,1874.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Accounting Superpowers: Learn Accounts, Understand Business!",Business Finance,beginner level,200,1437,2.5,Beginner,"accounting superpowers: learn accounts, understand business!",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Python Algo Trading: FX Trading with Oanda,Business Finance,intermediate level,200,453,3.0,Intermediate,python algo trading: fx trading with oanda,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Model Basics: Build a model from start to finish,Business Finance,beginner level,30,5057,1.0,Beginner,financial model basics: build a model from start to finish,4.491668,185.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Option Trading for Rookies: The Covered Call Option Strategy,Business Finance,beginner level,95,6092,1.5,Beginner,option trading for rookies: the covered call option strategy,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Get a Credit Repair Publication On Amazon and Live LIFE..,Business Finance,beginner level,20,727,3.0,Beginner,get a credit repair publication on amazon and live life..,3.8290865,31.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Business Finance,intermediate level,125,1045,1.0,Intermediate,basics of mutual funds for ca / cma / cs / cfa exams,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting 101: How to read an Accounting Balance Sheet,Business Finance,beginner level,200,3050,2.0,Beginner,accounting 101: how to read an accounting balance sheet,4.3649974,2706.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to bookkeeping and Accounting,Business Finance,beginner level,35,2623,1.0,Beginner,introduction to bookkeeping and accounting,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading for everyone - The Independent Investor Course I,Business Finance,beginner level,120,4133,4.0,Beginner,trading for everyone - the independent investor course i,3.7131531,55.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market investment: Practical Accounting,Business Finance,beginner level,125,1120,3.0,Beginner,stock market investment: practical accounting,4.39053,37.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Fundamentals of Investing!,Business Finance,beginner level,20,3125,2.0,Beginner,fundamentals of investing!,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introductory Financial Accounting,Business Finance,beginner level,80,1793,10.0,Beginner,introductory financial accounting,4.7412157,674.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Cryptocurrencies and Blockchain,Business Finance,beginner level,0,3775,2.0,Beginner,introduction to cryptocurrencies and blockchain,4.337808,7424.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Use the Magic Multiple Moving Average Forex Trading system,Business Finance,intermediate level,50,1097,1.0,Intermediate,use the magic multiple moving average forex trading system,4.653474,1135.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
QuickBooks 2015 Training for Newbies,Business Finance,beginner level,200,2506,6.0,Beginner,quickbooks 2015 training for newbies,3.8702908,26.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
TRADING PSYCHOLOGY: Trading Mindset Mastery,Business Finance,intermediate level,120,975,1.0,Intermediate,trading psychology: trading mindset mastery,4.143684,79.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting 2 Simplified for You,Business Finance,beginner level,45,1446,5.0,Beginner,accounting 2 simplified for you,4.4625883,991.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Bookkeeping Basics:  Understand the Fundamentals,Business Finance,beginner level,75,853,4.5,Beginner,bookkeeping basics:  understand the fundamentals,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trading Options For Consistent Returns: Options Basics,Business Finance,beginner level,0,4077,1.5,Beginner,trading options for consistent returns: options basics,4.6811237,2188.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
TechniTrader Leading Hybrid Indicator Trading,Business Finance,intermediate level,20,4117,1.0,Intermediate,technitrader leading hybrid indicator trading,3.494591,79.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Master Iron Condors - Double the credit for half the risk,Business Finance,expert level,60,1338,1.0,Expert,master iron condors - double the credit for half the risk,4.250356,431.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basics of investing in Mutual Funds,Business Finance,intermediate level,20,1589,1.5,Intermediate,basics of investing in mutual funds,3.6350713,257.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",Business Finance,intermediate level,50,1105,6.0,Intermediate,"how to fund your million dollar idea: equity, debt, unfund",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Binary Options Course - Level 2,Business Finance,intermediate level,0,5874,2.0,Intermediate,binary options course - level 2,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Apply finance concepts for smart project management,Business Finance,beginner level,0,3465,2.0,Beginner,apply finance concepts for smart project management,4.234221,348.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Futures Trading and Live Trade Demonstration,Business Finance,expert level,60,54,0.7166666666666667,Expert,introduction to futures trading and live trade demonstration,3.7271376,97.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Preparation of Consolidated Financial Statements (Basic),Business Finance,intermediate level,0,965,1.5,Intermediate,preparation of consolidated financial statements (basic),3.909753,46.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Options Trades Using Interactive Brokers,Business Finance,intermediate level,95,1580,1.0,Intermediate,stock options trades using interactive brokers,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",Business Finance,beginner level,200,1094,2.0,Beginner,"trading seasonal price patterns in stocks, futures, & forex!",3.345627,24.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Interpreting Financial Statements,Business Finance,beginner level,20,1449,1.5,Beginner,interpreting financial statements,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Introduction to Bookkeeping (Accounting),Business Finance,beginner level,20,3251,12.0,Beginner,introduction to bookkeeping (accounting),3.6124024,59.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
CREDIT SPREAD SURGERY - Bear Call and Bull Put Mastery ,Business Finance,intermediate level,60,607,2.0,Intermediate,credit spread surgery - bear call and bull put mastery,4.320227,200.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Trade Recap I - A Real Look at Futures Options Markets,Business Finance,beginner level,20,3339,1.5,Beginner,trade recap i - a real look at futures options markets,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Advanced Stock Options for Serious Equity Investors!,Business Finance,expert level,200,1271,1.5,Expert,advanced stock options for serious equity investors!,3.6039758,33.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
CFA: Fast Track your career in Finance,Business Finance,beginner level,20,1393,2.0,Beginner,cfa: fast track your career in finance,4.323941,36.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Double your Forex Account using the MAGIC MA trading robot,Business Finance,intermediate level,65,1160,2.5,Intermediate,double your forex account using the magic ma trading robot,3.9055176,828.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Advanced Accounting for Investment Banking,Business Finance,intermediate level,50,1260,4.0,Intermediate,advanced accounting for investment banking,4.538651,154.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How to Become a Financial Analyst from Scratch!,Business Finance,beginner level,40,2177,5.0,Beginner,how to become a financial analyst from scratch!,4.295874,1375.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
First Steps to Trading the Forexmarkets : Technical Analysis,Business Finance,beginner level,35,1772,3.5,Beginner,first steps to trading the forexmarkets : technical analysis,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex for Beginners: Easy Forex Trading for Beginners,Business Finance,beginner level,0,1780,1.0,Beginner,forex for beginners: easy forex trading for beginners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),Business Finance,beginner level,0,4607,0.5333333333333333,Beginner,investment crowdfunding 101 (a.k.a equity crowdfunding),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Read financial statements like a pro,Business Finance,intermediate level,50,12,4.0,Intermediate,read financial statements like a pro,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex Trading: The High ROI Forex Trading End of Day Course,Business Finance,intermediate level,125,8,2.5,Intermediate,forex trading: the high roi forex trading end of day course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Fundamentals of Accounting for Business Owners,Business Finance,beginner level,20,217,2.5,Beginner,fundamentals of accounting for business owners,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Financial Statement Review 101:  How to Find Errors,Business Finance,beginner level,30,5,2.0,Beginner,financial statement review 101:  how to find errors,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
The Complete Financial Statement Analysis Course,Business Finance,beginner level,150,912,3.0,Beginner,the complete financial statement analysis course,4.729682,265.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),Business Finance,beginner level,200,1033,1.5,Beginner,penny stocks value & chart pattern trading (2 course bundle),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Candlestick Analysis For Professional Traders,Business Finance,expert level,95,913,2.0,Expert,candlestick analysis for professional traders,4.4433823,285.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Hands-on Financial Modeling (With 6 Excel Templates),Business Finance,intermediate level,30,4601,4.0,Intermediate,hands-on financial modeling (with 6 excel templates),4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market investment:Non financial fundamental analysis,Business Finance,beginner level,125,1091,3.0,Beginner,stock market investment:non financial fundamental analysis,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn How to Play CashFlow Game,Business Finance,beginner level,35,1459,1.0,Beginner,learn how to play cashflow game,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Basics of Business Finance,Business Finance,beginner level,30,4855,4.0,Beginner,basics of business finance,3.4485781,397.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Accounting Made Easy 2,Business Finance,intermediate level,50,4034,3.0,Intermediate,accounting made easy 2,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Bitcoin: el futuro del dinero, hoy",Business Finance,intermediate level,200,57,3.0,Intermediate,"bitcoin: el futuro del dinero, hoy",4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Mit Finanzwissen zu besserem Unternehmertum,Business Finance,beginner level,50,49,3.0,Beginner,mit finanzwissen zu besserem unternehmertum,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Como hacer empresa en 10 sesiones prácticas,Business Finance,intermediate level,20,11,0.5,Intermediate,como hacer empresa en 10 sesiones prácticas,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
المحاسبة للإداريين و غير المحاسبين,Business Finance,beginner level,20,9,0.7166666666666667,Beginner,المحاسبة للإداريين و غير المحاسبين,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
MQL4 Tutorial Golden Goose,Business Finance,beginner level,20,135,1.5,Beginner,mql4 tutorial golden goose,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Business Accounting Made Easy,Business Finance,beginner level,50,1168,5.5,Beginner,business accounting made easy,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Technical Analysis - A practical approach for trade entry,Business Finance,expert level,60,454,2.0,Expert,technical analysis - a practical approach for trade entry,4.5522656,181.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Stock Market for Beginners - Complete Starter Toolkit,Business Finance,intermediate level,120,577,6.5,Intermediate,stock market for beginners - complete starter toolkit,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Beginners Binary Options Course,Business Finance,beginner level,0,10540,1.5,Beginner,beginners binary options course,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex: What's a Trend and When it is Strong and Reliable,Business Finance,intermediate level,0,2955,2.0,Intermediate,forex: what's a trend and when it is strong and reliable,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Volatility Trading Analysis with R,Business Finance,expert level,50,190,6.0,Expert,volatility trading analysis with r,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Awaken the Accountant in You | Master the Accounting Basics,Business Finance,beginner level,35,1135,1.5,Beginner,awaken the accountant in you | master the accounting basics,3.9961205,309.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Bookkeeping Made Easy,Business Finance,beginner level,70,1263,1.5,Beginner,bookkeeping made easy,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
BITCOIN VISUALLY. Part I.,Business Finance,beginner level,50,115,4.0,Beginner,bitcoin visually. part i.,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Learn and Master the Basics of Finance,Business Finance,beginner level,20,43,3.0,Beginner,learn and master the basics of finance,4.1741943,5405.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Exam 1 Review - Managerial Accounting (U of H),Business Finance,beginner level,30,47,2.0,Beginner,exam 1 review - managerial accounting (u of h),4.42571,15.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Forex For Beginners - A Guide To Currency Trading,Business Finance,beginner level,20,68,0.5,Beginner,forex for beginners - a guide to currency trading,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Working Capital Management for CA / CFA / CPA Exams,Business Finance,intermediate level,25,2342,3.5,Intermediate,working capital management for ca / cfa / cpa exams,4.239083461755486,0.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Mastering Futures Options for Beginners - Your Top 5 Plays!,Business Finance,beginner level,200,1185,2.5,Beginner,mastering futures options for beginners - your top 5 plays!,3.5023885,24.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
"Advanced Options Concepts - Probability, Greeks, Simulation",Business Finance,intermediate level,60,968,2.0,Intermediate,"advanced options concepts - probability, greeks, simulation",4.070084,857.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
Case Studies in Macro Economics,Business Finance,beginner level,50,114,4.0,Beginner,case studies in macro economics,4.046955,74.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
My Forex Strategy that win consistently over and over,Business Finance,intermediate level,200,204,1.5,Intermediate,my forex strategy that win consistently over and over,4.056056,70.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How to Become an Accountant from scratch!,Business Finance,beginner level,40,1169,3.0,Beginner,how to become an accountant from scratch!,4.5564137,174.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
How to invest in Gold,Business Finance,beginner level,50,249,2.5,Beginner,how to invest in gold,4.7589297,83.0,Meningkatkan pengetahuan dan keterampilan di bidang Business Finance
